minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
2,13,0.32,1,83,70
3,1,0.15,2,362,1571
4,13,0.78,1,179,80
2,48,0.77,1,68,83
24,71,1.81,4,0,33
1,1,0.03,2,365,222
2,156,2.15,3,137,279
3,23,0.44,127,152,404
3,4,0.61,1,259,84
1,52,0.7,1,352,55
3,4,0.08,1,0,300
30,15,0.3,14,179,130
1,97,3.33,1,45,82
3,2,0.07,53,258,235
2,23,0.32,6,170,380
2,4,0.14,9,365,54
1,21,1.98,62,155,63
2,1,1.0,1,227,101
3,6,0.14,1,30,70
3,2,0.04,1,0,600
5,1,0.02,1,0,100
3,34,0.87,1,14,600
1,7,0.27,9,352,120
3,140,4.96,3,212,237
25,1,0.91,17,1,125
2,11,0.47,2,0,62
2,7,0.92,5,363,120
30,2,0.28,4,290,100
1,28,2.07,4,79,176
6,21,0.41,1,180,399
3,1,0.02,2,0,600
1,56,1.45,7,270,104
7,41,1.1,1,364,90
2,65,1.04,1,308,235
1,321,7.06,1,314,79
3,1,0.16,1,283,42
2,95,2.27,1,0,468
4,1,0.02,1,0,345
5,2,0.03,2,62,45
2,1,1.0,1,364,81
2,41,1.98,2,78,703
30,33,0.91,9,364,150
1,31,1.52,31,191,128
1,24,0.84,124,325,169
1,44,2.52,4,86,36
1,11,0.88,10,365,299
2,11,3.14,4,83,90
1,2,0.3,4,365,38
30,14,0.48,2,208,42
4,5,0.32,2,353,300
2,61,2.48,1,5,160
2,10,2.73,1,163,832
1,10,2.4,14,315,95
4,11,0.61,13,144,160
30,139,2.26,1,332,149
1,143,3.78,1,0,50
61,163,3.04,28,270,248
30,2,0.16,6,365,255
1,6,0.88,2,365,103
1,31,3.15,1,99,60
90,32,0.38,1,251,85
28,6,0.27,8,180,52
2,14,0.9,2,179,95
2,88,3.01,1,169,396
1,258,4.09,8,359,59
1,18,1.69,1,268,150
1,122,5.43,1,327,140
5,1,0.24,8,53,20
1,40,2.67,1,0,77
4,1,0.05,2,57,200
2,11,0.14,1,89,175
2,90,3.38,1,253,98
1,490,4.47,5,354,60
1,153,5.42,1,311,89
2,25,4.97,1,164,89
2,7,0.47,2,0,60
2,10,0.61,1,137,175
1,1,0.08,1,179,80
30,1,0.08,39,365,142
2,21,1.04,3,0,130
2,5,0.79,1,0,412
30,6,0.1,1,0,295
3,3,0.06,9,0,299
2,47,1.39,2,357,70
20,379,5.5,3,84,70
2,2,0.1,35,331,250
2,11,0.17,1,168,80
1,90,1.76,5,5,141
1,30,1.18,1,365,75
2,83,2.74,3,177,165
1,16,1.66,8,301,320
3,1,0.17,5,362,65
1,5,0.19,2,344,80
30,38,1.49,2,32,119
1,54,0.99,2,215,60
14,58,0.53,1,262,110
14,100,1.55,3,58,55
3,27,3.0,1,211,282
1,19,1.53,1,0,70
2,37,0.74,1,0,215
21,16,0.55,2,122,75
4,111,2.72,1,165,138
4,6,0.66,2,82,60
1,7,0.8,116,123,64
1,2,0.04,1,0,45
1,9,0.32,1,0,225
2,8,0.85,1,14,151
3,32,2.82,1,250,89
4,20,0.84,1,83,65
1,101,2.87,20,250,87
2,8,0.3,1,87,225
1,25,1.77,1,355,91
30,55,1.78,1,250,68
2,58,2.99,1,321,62
1,14,1.08,2,173,245
30,42,0.7,3,363,145
4,3,0.13,1,347,200
1,13,0.62,1,0,45
2,146,2.98,5,287,89
7,15,0.43,3,355,275
5,3,0.06,20,134,405
1,74,2.95,3,151,110
3,4,0.06,1,0,90
1,86,2.57,142,361,118
2,1,0.21,45,336,999
4,20,0.69,1,180,69
6,6,0.06,3,353,950
3,8,0.17,1,0,25
4,21,0.51,2,0,130
3,42,1.47,1,347,133
3,61,1.7,1,90,149
1,1,0.06,40,205,495
1,41,2.45,9,21,42
2,1,0.02,1,0,250
2,13,0.38,1,0,110
2,95,1.53,1,301,50
14,74,2.6,1,25,55
31,36,0.46,15,300,175
30,94,2.96,4,15,300
30,95,2.9,1,0,108
1,104,1.61,9,162,50
3,31,1.27,1,166,490
2,30,3.24,1,88,48
1,114,5.1,10,51,85
30,56,1.06,1,125,260
2,50,1.83,1,262,315
2,1,1.0,8,171,112
90,105,1.62,1,365,40
2,17,1.01,1,364,70
2,3,0.63,2,364,43
1,6,0.33,10,5,70
6,157,1.75,1,343,180
31,1,0.11,393,173,145
30,17,0.78,3,334,351
1,5,0.32,2,0,59
1,9,0.4,1,0,125
5,11,0.22,2,0,200
14,20,0.33,13,326,600
1,1,1.0,15,361,61
4,3,0.24,1,1,89
7,54,1.98,12,344,15
7,11,0.73,8,358,22
3,50,4.49,1,71,129
2,157,2.16,1,150,142
2,16,0.86,9,251,39
1,6,1.37,7,150,36
1,29,2.4,1,128,69
1,7,0.95,1,310,140
2,6,3.1,130,361,125
3,1,0.5,48,323,129
5,5,0.86,1,179,120
3,24,0.95,31,0,700
4,4,0.31,1,0,199
30,3,0.05,1,0,135
30,25,0.87,7,172,130
1,3,0.11,171,354,295
2,6,0.21,6,327,371
30,5,0.08,1,0,80
1,20,2.06,1,203,300
4,152,3.02,5,355,135
2,167,4.57,1,129,105
30,39,0.64,4,365,166
1,27,1.64,1,78,120
4,53,1.08,16,334,275
30,7,0.12,1,0,80
7,1,0.02,1,0,53
2,266,3.41,1,214,190
1,2,0.03,1,0,73
32,37,0.89,42,211,111
2,5,0.58,1,128,99
3,7,0.56,1,0,115
1,14,0.36,2,31,42
30,15,0.6,1,0,105
1,152,7.72,1,330,65
30,2,0.03,1,0,99
30,36,1.71,1,0,100
3,13,0.22,2,362,50
2,2,0.18,2,1,69
1,113,5.33,2,363,40
91,3,0.06,1,101,135
20,1,0.03,1,0,80
2,395,2.81,1,155,105
2,25,0.49,1,0,179
1,4,0.24,21,250,159
60,3,0.05,1,358,96
4,3,0.08,1,0,89
2,5,0.39,2,0,65
1,23,2.03,5,232,23
4,35,0.97,4,176,90
14,3,1.43,3,348,326
2,22,0.68,1,83,55
31,1,0.03,30,0,275
2,2,0.07,2,90,199
2,112,6.23,2,62,79
2,15,0.25,1,0,60
1,1,1.0,3,360,200
2,1,0.02,1,0,80
2,3,0.3,100,354,171
3,112,4.56,3,264,43
1,48,1.26,11,30,59
3,20,0.77,1,157,360
21,3,0.34,7,158,14
2,4,0.46,1,1,75
30,2,0.2,10,276,66
2,9,1.41,2,173,250
2,30,2.6,8,233,167
6,4,0.21,7,180,33
30,64,0.94,1,131,149
30,102,1.85,2,0,215
3,3,0.06,46,258,350
1,13,0.24,2,0,94
1,148,3.8,1,177,163
2,117,1.25,1,303,125
30,2,0.04,9,267,110
5,29,2.1,1,221,179
3,163,2.15,1,299,89
3,11,0.96,24,258,120
2,273,3.21,1,301,125
1,5,0.77,8,192,99
1,44,3.05,1,0,65
2,19,0.74,3,27,105
1,2,0.64,30,273,71
1,21,2.94,23,242,206
1,132,2.73,1,260,189
1,3,0.4,189,16,149
2,127,1.03,1,239,129
4,77,2.29,3,90,55
2,146,1.69,1,310,78
4,19,0.58,4,365,65
2,91,3.05,1,313,25
1,1,1.0,2,346,21
2,254,6.68,1,43,75
5,13,0.19,1,0,38
5,14,0.53,2,309,40
1,11,0.29,1,0,79
2,6,0.85,44,32,40
1,221,4.69,1,65,49
2,116,3.99,2,149,50
30,123,1.01,2,365,100
1,52,1.12,2,34,90
2,263,4.53,1,0,60
4,1,0.08,3,0,74
5,72,1.93,2,0,45
3,12,0.51,1,29,130
2,63,0.96,7,0,63
30,17,0.43,4,0,225
5,3,0.09,1,68,152
1,12,3.05,3,273,50
1,33,1.29,1,262,99
1,8,0.68,1,171,88
2,70,4.55,10,104,140
2,8,0.13,6,57,400
31,24,0.26,1,92,60
1,36,3.2,4,2,150
7,1,0.03,7,0,236
2,17,0.46,1,88,200
1,1,0.13,12,93,175
3,125,3.87,1,193,160
3,136,5.13,7,179,89
2,1,0.09,1,88,150
3,1,0.08,1,0,115
30,91,1.46,21,344,32
3,11,1.0,2,0,150
3,99,2.33,1,219,155
30,6,0.07,1,303,350
3,26,1.16,1,16,150
5,131,2.53,1,265,255
2,67,2.29,1,160,89
1,6,0.11,1,0,85
4,109,1.07,3,0,250
2,7,0.64,40,213,726
3,10,0.14,2,0,106
3,7,0.28,1,84,950
2,5,0.88,3,340,50
2,1,1.0,1,29,325
7,5,0.12,4,6,79
2,16,0.61,4,0,72
1,2,0.06,1,0,28
30,58,0.83,4,312,311
31,1,0.11,1,345,70
1,17,2.29,1,179,35
2,11,0.74,2,30,87
2,6,0.52,195,353,128
7,1,0.09,1,363,249
2,19,0.62,1,0,55
2,82,3.44,1,150,85
2,5,0.37,1,0,82
2,14,2.94,9,0,300
1,82,2.77,1,0,55
1,1,0.29,32,0,80
2,12,2.06,4,275,106
25,1,0.14,1,88,125
2,97,0.76,2,88,90
1,15,0.35,1,0,55
30,26,0.84,1,179,196
30,2,0.05,1,0,110
12,5,0.33,1,335,115
3,142,1.9,2,357,110
1,1,0.02,1,0,125
2,62,1.2,2,126,190
1,70,3.37,1,0,89
5,8,0.47,2,359,280
31,28,0.88,9,154,305
2,8,0.12,1,0,150
1,59,7.05,33,341,98
2,2,0.23,1,0,198
1,16,1.98,3,309,281
4,1,0.08,2,0,120
30,14,0.3,22,89,29
30,11,1.64,2,43,144
30,5,0.13,71,364,199
2,2,0.06,61,256,345
1,131,2.66,1,171,99
2,141,3.55,3,0,85
1,2,0.28,31,358,227
3,6,0.07,1,172,400
3,4,0.11,166,340,115
3,6,0.51,2,365,90
3,2,0.04,1,0,40
1,156,3.42,16,0,129
1,16,0.8,1,0,140
2,2,0.11,1,0,70
4,3,0.57,1,322,88
2,3,0.15,84,88,198
7,4,0.37,2,44,342
3,33,0.77,1,225,159
30,2,0.13,2,221,62
31,3,0.12,45,217,113
5,1,0.11,2,354,250
1,112,2.18,55,247,112
1,1,1.0,6,337,119
3,37,1.97,1,175,107
30,1,0.18,11,130,58
4,7,0.81,2,11,45
2,17,1.72,1,311,75
2,4,0.08,1,0,329
1,78,2.15,2,247,100
7,20,0.71,1,283,240
4,26,0.6,1,0,125
7,27,0.78,1,275,350
3,5,0.34,2,169,650
30,10,0.17,1,365,65
2,49,1.99,1,363,120
31,7,0.22,393,137,146
3,37,0.83,2,360,70
2,99,2.21,81,97,125
3,2,0.22,1,88,145
2,118,6.21,1,203,221
31,84,2.33,2,155,80
5,5,0.13,87,327,194
1,4,0.41,5,0,90
91,43,0.91,2,90,83
2,2,0.03,2,77,65
2,2,0.3,1,365,50
180,132,1.54,2,243,145
3,26,2.08,1,149,95
5,14,1.06,1,88,163
1,18,10.0,8,303,27
2,53,3.26,1,132,53
30,134,2.97,8,250,145
2,1,0.13,119,89,289
30,5,0.19,4,72,61
2,67,2.84,3,162,144
1,27,0.57,1,361,83
2,12,0.71,1,0,230
2,145,5.26,2,60,90
3,3,0.49,5,24,200
2,41,1.59,1,133,96
1,60,5.22,6,37,103
2,14,0.29,1,268,75
9,1,0.02,1,0,129
2,6,0.15,35,350,225
1,7,0.92,1,102,119
2,36,3.45,1,151,88
31,5,0.17,4,89,28
30,52,1.03,11,284,92
2,1,0.42,2,72,44
4,9,1.15,1,4,120
2,7,0.43,1,0,235
3,5,0.44,48,267,130
30,66,2.39,1,179,113
3,6,0.53,7,365,27
32,98,2.23,8,198,124
1,152,2.87,2,343,75
30,16,0.32,1,337,400
2,92,2.67,2,261,181
1,12,0.6,1,0,40
30,1,0.02,1,0,70
3,2,0.21,221,353,184
4,6,0.31,35,254,295
2,8,0.12,1,0,250
2,7,0.37,15,359,174
45,6,0.73,12,68,189
30,3,0.07,3,327,200
2,44,0.75,7,178,65
30,20,0.86,1,365,51
3,48,1.66,1,302,400
6,45,1.5,5,180,139
1,7,0.29,11,0,138
3,111,2.2,3,0,200
2,75,2.48,6,325,236
5,20,0.42,1,254,70
2,7,2.08,25,334,232
1,29,2.51,1,54,98
2,3,0.65,1,347,63
1,1,0.14,1,225,207
1,5,0.75,3,352,179
2,67,2.65,1,100,225
28,100,2.89,1,322,248
2,28,0.46,2,0,219
1,35,0.71,1,0,100
2,31,0.88,5,365,539
2,5,0.13,1,361,225
1,87,4.64,4,165,124
1,15,0.28,2,0,75
1,6,0.8,1,179,50
3,4,0.06,1,364,500
3,41,2.52,1,122,186
2,57,3.07,5,347,385
1,1,0.02,2,365,100
5,7,0.39,5,320,225
2,259,3.58,1,81,80
30,1,0.08,146,179,85
1,40,3.17,4,67,40
5,21,1.36,2,251,36
2,3,2.2,13,37,285
2,43,2.59,2,298,350
3,21,0.92,4,364,55
5,17,1.12,6,345,90
3,26,0.37,1,243,249
3,33,0.98,1,343,225
2,8,0.49,1,0,150
2,90,3.81,1,75,185
2,50,0.86,75,0,321
3,39,2.21,1,39,250
30,1,0.17,7,344,95
1,9,0.26,1,0,54
13,106,1.1,4,343,195
28,123,3.29,5,355,225
3,149,1.55,1,353,93
2,1,0.05,1,0,175
7,3,0.07,2,114,139
2,490,5.34,1,138,57
5,1,0.04,2,0,45
30,190,3.83,1,75,85
4,1,0.03,1,0,80
2,21,0.88,2,75,150
1,29,0.47,4,362,165
30,1,0.02,4,359,99
5,2,0.18,2,0,110
1,7,1.05,7,0,29
1,6,0.24,1,0,90
1,153,5.71,2,58,38
2,2,0.17,14,334,300
1,113,4.71,18,0,75
1,45,3.85,1,1,179
3,32,0.56,1,364,165
30,17,0.23,1,361,190
2,66,1.91,1,124,195
30,148,3.05,2,180,100
5,12,0.19,1,243,1000
2,19,1.05,1,0,99
3,122,2.61,1,0,165
30,2,0.33,393,362,180
30,1,0.11,22,303,70
1,2,0.09,15,322,287
2,9,0.39,1,0,48
1,150,3.78,5,53,60
6,8,0.25,32,356,286
27,4,0.06,1,364,70
1,54,2.51,1,361,180
2,60,3.89,1,61,81
2,18,0.97,3,339,69
1,281,7.01,76,36,72
2,64,2.53,1,333,141
3,6,0.3,69,268,311
1,1,0.03,1,0,55
3,22,0.35,1,251,199
3,167,1.81,3,336,97
3,42,1.82,3,194,80
30,7,0.33,1,327,92
4,162,3.86,2,0,50
1,15,1.36,2,365,100
1,12,1.43,13,71,169
5,2,0.07,1,342,240
2,1,0.02,1,0,190
1,34,4.11,3,305,75
2,18,0.59,260,357,326
2,45,1.37,1,360,77
30,24,0.48,2,333,60
7,1,0.17,2,0,200
1,8,0.75,2,31,33
1,86,6.48,1,217,115
2,30,0.68,2,0,58
2,16,0.54,20,46,92
2,4,0.28,1,0,300
1,40,3.08,1,307,135
2,2,0.06,1,0,135
2,3,0.08,1,268,420
1,17,0.43,4,282,1248
1,28,3.73,24,245,70
1,7,0.63,1,38,327
3,13,0.8,2,113,299
1,22,0.93,1,45,210
2,2,0.34,27,312,557
1,237,2.46,1,306,141
3,190,2.74,1,158,179
3,32,0.97,1,268,135
1,9,0.56,4,0,81
2,72,4.37,3,107,133
30,3,0.04,1,365,52
5,41,0.62,1,335,135
3,13,0.49,1,96,120
2,13,0.15,23,71,35
3,19,0.19,1,170,139
3,27,0.6,10,365,35
1,1,0.13,45,265,216
1,16,1.83,1,316,255
1,80,3.08,1,240,65
30,182,1.9,1,127,185
2,147,2.93,1,0,277
1,23,0.82,2,89,135
1,4,4.0,1,335,184
2,24,2.31,1,1,147
30,3,0.21,2,82,133
2,8,0.79,1,218,125
2,18,1.27,1,248,777
3,27,1.21,41,262,900
4,20,0.44,1,0,40
1,1,0.07,5,169,299
1,41,0.82,5,365,40
3,43,2.32,14,147,248
3,4,0.11,1,0,115
1,7,0.29,5,353,79
2,9,0.64,37,147,91
1,186,5.54,1,63,125
3,73,2.93,1,295,423
10,4,0.62,6,0,39
30,73,0.91,3,345,75
4,1,0.06,284,189,185
90,2,0.25,10,272,60
60,1,0.08,7,153,295
1,80,1.22,2,361,48
1,31,2.49,1,365,102
30,27,0.54,1,73,90
2,37,0.69,1,363,86
30,210,3.68,4,365,120
32,6,0.22,9,88,39
2,10,7.69,5,155,193
1,143,2.68,2,129,65
1,10,2.91,7,87,104
3,3,0.07,1,87,75
1,14,0.81,5,65,70
2,95,0.98,1,46,101
2,1,1.0,38,277,122
1,22,2.32,9,365,99
30,18,0.72,19,79,66
3,24,1.18,1,0,95
3,35,2.45,1,177,94
3,11,0.22,1,350,350
4,14,0.68,1,76,153
2,110,5.16,1,139,125
30,2,0.27,115,352,72
3,15,0.32,2,361,198
3,37,1.28,1,357,269
1,300,7.06,8,83,99
2,117,3.2,1,146,100
30,56,1.71,1,314,549
91,3,0.13,8,179,45
1,180,4.07,7,84,84
29,1,0.56,3,243,69
2,7,0.24,15,360,320
1,6,0.82,3,180,43
28,118,3.35,4,335,159
2,49,6.48,1,144,299
2,4,0.25,5,362,80
1,28,3.21,4,113,85
3,192,6.27,1,17,96
30,5,0.27,1,365,79
2,39,1.34,20,46,92
2,22,0.62,1,89,88
2,40,1.16,1,2,60
2,38,0.66,10,331,215
30,56,1.79,3,5,99
2,2,0.44,3,175,50
2,7,1.96,76,76,319
31,2,0.22,2,74,128
3,99,1.68,1,148,248
14,1,0.15,1,180,80
1,197,4.52,1,284,70
3,3,0.07,6,31,1899
2,30,1.08,3,313,27
1,1,0.05,1,0,170
5,11,0.17,1,14,94
4,10,0.24,1,170,475
2,8,0.61,5,90,58
2,1,0.05,1,0,250
3,37,0.86,2,342,864
5,1,0.04,4,365,120
30,9,0.51,1,59,79
2,8,0.15,2,352,459
12,110,1.62,3,0,122
1,26,0.56,3,158,36
3,19,1.8,6,347,641
1,2,0.04,1,0,65
1,18,0.3,1,0,76
5,2,0.28,213,333,250
2,6,5.29,31,76,284
1,10,0.49,1,88,70
3,3,0.66,1,30,39
2,18,1.47,1,129,63
9,10,0.18,1,0,85
3,7,0.14,14,338,279
14,4,0.06,1,0,105
31,88,1.97,1,359,179
3,3,0.07,19,363,213
2,1,0.05,89,283,116
1,6,0.44,1,160,60
1,17,0.74,1,0,105
2,5,1.6,7,72,319
5,34,1.25,3,150,120
1,105,2.43,1,0,65
1,22,2.59,3,363,150
30,1,0.42,1,75,150
2,1,0.03,1,0,75
1,82,3.57,1,345,250
1,34,3.05,1,22,69
2,95,1.98,1,29,250
2,94,3.34,1,42,88
2,24,0.37,2,0,320
3,22,0.38,3,305,240
4,1,0.02,1,0,120
9,112,2.19,2,256,41
30,26,1.0,2,0,109
2,2,1.09,1,0,85
3,4,0.09,2,1,290
1,1,0.19,14,365,42
30,112,2.0,6,365,120
1,3,0.51,1,0,50
1,4,1.71,54,317,65
6,8,0.52,3,201,1495
1,378,6.66,5,213,120
5,49,0.93,1,4,295
3,7,0.54,1,49,135
2,8,0.3,1,89,161
30,8,0.1,1,252,88
4,7,0.2,1,155,250
1,115,2.28,1,265,200
5,2,0.15,1,0,30
1,134,2.91,13,267,79
28,1,0.08,1,297,200
30,42,2.29,1,180,36
30,87,1.64,5,213,50
14,11,0.37,2,363,275
3,38,0.4,3,92,154
1,75,1.38,2,171,72
1,27,1.66,4,33,50
1,72,1.9,1,171,65
1,38,1.8,1,142,125
3,82,1.26,3,0,65
3,34,0.47,8,163,270
2,23,0.45,1,0,60
3,43,1.15,3,268,269
1,38,5.45,9,349,67
3,4,0.15,1,0,200
3,12,0.2,1,0,300
2,49,4.02,2,333,249
1,28,1.05,7,0,68
5,106,2.5,2,131,109
2,37,0.49,1,250,110
2,71,1.86,1,364,68
2,99,2.29,11,74,172
3,190,2.24,83,365,99
2,37,0.63,4,185,39
2,98,4.73,2,4,120
3,11,0.3,52,223,169
1,6,0.13,1,0,70
1,1,0.02,1,0,40
7,70,1.16,1,201,225
1,1,0.02,2,0,200
30,17,0.6,2,292,65
2,13,0.42,1,179,175
1,27,3.77,6,353,200
30,2,0.72,3,140,65
2,128,5.9,1,283,133
30,3,0.05,2,16,30
2,5,0.12,5,300,304
3,16,1.01,1,142,448
30,52,3.03,4,179,1042
1,32,0.98,32,358,457
2,2,0.26,89,354,172
3,41,1.2,1,269,175
1,94,3.07,2,342,150
4,15,0.17,1,148,219
1,3,0.37,3,365,7000
5,54,0.87,1,359,1264
30,30,4.15,2,365,120
7,141,2.08,8,270,165
2,3,1.15,14,121,315
3,192,2.3,1,138,98
1,75,1.33,26,0,95
1,25,0.61,1,365,80
1,9,3.91,2,247,105
3,9,0.12,1,365,100
30,21,0.77,6,0,45
1,15,0.97,2,0,34
2,184,3.47,1,167,85
5,1,0.07,3,363,70
2,7,0.69,1,0,129
1,2,0.12,11,365,25
30,38,0.56,3,358,169
30,1,0.18,8,95,329
30,11,0.24,1,83,55
31,1,0.04,2,0,81
2,97,3.11,1,363,89
1,30,1.48,14,73,105
3,55,1.81,1,180,125
3,4,0.28,2,69,61
2,72,0.66,1,364,85
1,3,0.06,1,0,73
14,35,0.96,5,0,35
2,152,4.15,28,252,99
1,33,2.46,1,0,89
30,2,0.29,1,365,102
30,1,0.08,2,88,521
2,1,0.16,45,356,999
3,2,0.03,1,0,325
2,30,0.72,1,203,250
7,9,0.13,4,363,229
30,1,0.08,111,151,168
3,15,0.97,1,127,100
1,15,4.64,1,314,90
2,16,1.11,1,239,247
6,12,0.14,1,173,205
30,1,0.15,1,302,110
1,4,0.07,1,364,164
30,1,0.41,238,364,213
3,35,1.31,1,262,250
7,2,0.32,8,38,680
31,5,0.23,1,361,82
1,43,3.14,1,265,123
30,5,0.09,4,328,90
4,48,0.99,1,0,390
3,1,0.23,1,364,175
1,48,1.84,1,85,100
4,2,0.14,149,38,129
30,5,0.21,1,0,329
1,76,4.67,2,88,98
1,32,5.33,1,150,103
2,191,2.85,1,332,228
2,27,2.18,2,88,45
2,4,0.12,33,364,183
3,41,0.57,14,365,79
3,10,0.23,3,0,40
5,66,1.19,1,0,115
3,18,1.4,1,156,250
2,1,1.0,5,146,209
2,94,2.71,1,315,231
30,415,6.11,2,335,157
1,14,0.78,2,0,170
1,38,2.43,1,364,45
1,2,0.07,1,0,40
1,22,1.42,3,25,94
1,56,2.15,1,74,49
1,10,0.13,1,0,286
2,31,0.77,1,44,76
30,11,0.47,2,0,40
1,23,1.03,2,365,175
1,208,4.03,3,359,199
1,81,1.34,1,157,62
1,1,0.12,189,363,116
2,34,2.66,1,317,71
1,21,1.5,5,0,40
10,11,0.17,3,0,55
30,17,0.98,1,0,175
2,27,0.6,1,0,190
2,7,0.22,1,0,125
1,94,4.95,13,345,94
2,10,0.59,4,0,90
2,46,1.38,1,365,205
1,1,0.02,1,0,120
2,4,0.2,1,0,80
5,14,0.29,1,0,250
1,7,0.86,20,11,191
5,9,0.33,1,0,345
5,2,0.14,1,273,259
2,148,6.76,63,202,90
30,10,0.4,12,365,495
2,6,0.12,1,0,60
1,31,0.78,1,5,163
2,2,0.32,45,359,999
2,209,3.71,7,67,49
5,4,0.42,1,176,500
1,130,2.86,1,269,71
10,3,0.08,1,18,170
4,16,0.64,2,130,120
3,45,0.63,13,239,175
2,13,0.57,55,0,130
2,2,0.09,195,328,274
14,1,0.81,9,340,140
2,70,2.85,1,315,90
30,5,0.64,6,127,249
2,23,0.7,9,1,97
3,7,0.25,1,0,100
30,5,0.08,1,364,586
2,1,0.59,31,361,120
2,94,3.28,2,0,36
2,10,0.87,1,0,150
2,24,1.99,2,48,120
3,3,0.74,1,339,60
3,1,0.03,1,0,39
2,214,3.52,1,166,209
1,47,1.59,1,0,25
15,5,0.71,1,47,139
2,27,0.95,1,264,60
1,4,0.14,2,0,96
1,65,2.51,8,331,75
3,4,0.48,9,364,400
1,20,2.67,16,0,125
2,8,0.62,1,89,115
1,14,0.46,4,0,239
3,1,0.12,1,87,126
5,22,1.69,5,179,90
2,3,0.42,1,165,145
2,83,2.95,1,1,420
30,6,0.1,1,0,148
1,2,0.06,233,195,300
1,89,2.24,11,336,48
1,13,0.37,90,266,417
3,8,0.3,1,0,175
3,43,1.94,1,179,70
2,1,0.15,45,359,999
1,9,0.8,5,0,45
2,20,1.15,1,0,94
7,1,0.1,1,208,580
31,435,8.3,1,218,45
1,96,2.64,1,123,55
1,25,2.08,3,23,79
3,15,0.59,3,328,315
30,14,0.26,1,41,115
2,3,0.28,1,0,250
2,2,0.05,25,275,600
1,112,2.7,1,50,65
31,11,0.43,65,0,450
1,1,0.05,1,90,63
